id,exercise_name,exercise_name_ch,difficulty_level,difficulty_category,core_ipsi,core_contra,toe_touch,clinical_summary
1,Straight leg raise,直膝抬腿,1,beginner,False,False,False,
2,Double leg glute bridging,雙腳臀橋,2,beginner,False,False,True,
3,Double leg hamstrings bridging,雙腳膕旁肌橋式,3,beginner_to_intermediate,False,False,True,
4,Single leg glute bridging,單腳臀橋,4,beginner_to_intermediate,True,True,True,
5,Single leg hamstrings bridging,單腳膕旁肌橋式,5,intermediate,True,True,True,
6,Scissors,仰臥剪刀式,1,beginner,False,False,True,
7,3-months supine hip lowering,仰臥三個月姿勢髖部下放,2,beginner,False,False,True,
8,Deadbug,死蟲式,3,beginner_to_intermediate,False,True,True,
9,Side lying Clamshell,側臥蚌殼式,1,beginner,False,False,False,
10,Side plank on knees hip dip,跪姿側棒式髖部升降,2,beginner,True,False,False,
11,Side plank on knees hold,跪姿側棒式停留,3,beginner_to_intermediate,True,False,False,
12,Side plank Clamshell,側棒式蚌殼式,4,beginner_to_intermediate,True,False,False,
13,Side plank hip abduction,側棒式髖外展,5,intermediate,True,False,False,
14,Copenhagen adductor lv1,哥本哈根內收肌運動 Lv1,1,beginner,False,False,False,
15,Copenhagen adductor lv2,哥本哈根內收肌運動 Lv2,7,intermediate_to_advance,True,False,False,
16,Quadruped single limb movement,四足跪姿單肢活動,2,beginner,False,True,False,
17,Quadruped donkey kick,四足跪姿驢踢,3,beginner_to_intermediate,False,True,False,
18,Quadruped leg extension,四足跪姿後踢,4,beginner_to_intermediate,False,True,False,
19,Quadruped hip abduction,四足跪姿髖外展,4,beginner_to_intermediate,False,True,False,
20,Birddog,鳥狗式,5,intermediate,False,True,False,
21,DL squat,雙腳深蹲,3,beginner_to_intermediate,False,False,False,
22,DL squat with band,彈力帶雙腳深蹲,4,beginner_to_intermediate,False,False,False,
23,DL squat with adductor squeeze,雙腳深蹲(夾內收肌),4,beginner_to_intermediate,False,False,False,
24,Hip hinge,髖關節鉸鏈,5,intermediate,False,False,False,
25,Split leg squat,分腿蹲,4,beginner_to_intermediate,True,True,False,
26,Backward Lunge,後弓箭步,5,intermediate,True,True,False,
27,Step up,登階運動,5,intermediate,True,True,False,
28,Side squat,側蹲,6,intermediate,True,True,False,
29,Hip hikes,骨盆側提,5,intermediate,True,False,False,
30,RFESS,保加利亞分腿蹲,7,intermediate_to_advance,True,True,False,
31,SL half squat,單腳半蹲,9,advance,True,True,False,
32,SL RDL,單腳羅馬尼亞硬舉,9,advance,True,True,False,
