exercise_name,exercise_name_ch,position_sl_stand,position_split_stand,position_dl_stand,position_quadruped,position_supine_lying,position_side_lying,muscle_quad,muscle_hamstring,muscle_glute_max,muscle_hip_flexors,muscle_glute_med_min,muscle_adductors,core_ipsi,core_contra,toe_touch,difficulty_level
Straight leg raise,直膝抬腿,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,3,1,1,FALSE,FALSE,FALSE,1
Double leg glute bridging,雙腳臀橋,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,4,0,1,1,FALSE,FALSE,TRUE,2
Double leg hamstrings bridging,雙腳膕旁肌橋式,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,4,4,0,1,1,FALSE,FALSE,TRUE,3
Single leg glute bridging,單腳臀橋,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,5,0,4,2,TRUE,TRUE,TRUE,4
Single leg hamstrings bridging,單腳膕旁肌橋式,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,5,4,0,4,2,TRUE,TRUE,TRUE,5
Scissors,仰臥剪刀式,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,3,0,0,FALSE,FALSE,TRUE,1
3-months supine hip lowering,仰臥三個月姿勢髖部下放,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,5,1,1,FALSE,FALSE,TRUE,2
Deadbug,死蟲式,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1,4,1,3,FALSE,TRUE,TRUE,3
Side lying Clamshell,側臥蚌殼式,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,2,0,4,0,FALSE,FALSE,FALSE,1
Side plank on knees hip dip,跪姿側棒式髖部升降,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,4,0,TRUE,FALSE,FALSE,2
Side plank on knees hold,跪姿側棒式停留,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,5,1,TRUE,FALSE,FALSE,3
Side plank Clamshell,側棒式蚌殼式,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4,0,5,1,TRUE,FALSE,FALSE,4
Side plank hip abduction,側棒式髖外展,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,4,0,5,1,TRUE,FALSE,FALSE,5
Copenhagen adductor lv1,哥本哈根內收肌運動 Lv1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,3,FALSE,FALSE,FALSE,1
Copenhagen adductor lv2,哥本哈根內收肌運動 Lv2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,2,0,2,5,TRUE,FALSE,FALSE,7
Quadruped single limb movement,四足跪姿單肢活動,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,0,3,0,FALSE,TRUE,FALSE,2
Quadruped donkey kick,四足跪姿驢踢,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,3,0,4,0,FALSE,TRUE,FALSE,3
Quadruped leg extension,四足跪姿後踢,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,3,0,4,0,FALSE,TRUE,FALSE,4
Quadruped hip abduction,四足跪姿髖外展,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,3,0,5,0,FALSE,TRUE,FALSE,4
Birddog,鳥狗式,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,3,0,5,0,FALSE,TRUE,FALSE,5
DL squat,雙腳深蹲,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,3,1,FALSE,FALSE,FALSE,3
DL squat with band,彈力帶雙腳深蹲,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,4,2,4,1,FALSE,FALSE,FALSE,4
DL squat with adductor squeeze,雙腳深蹲(夾內收肌),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3,3,2,3,3,FALSE,FALSE,FALSE,4
Hip hinge,髖關節鉸鏈,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,4,2,2,2,FALSE,FALSE,FALSE,5
Split leg squat,分腿蹲,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,4,3,TRUE,TRUE,FALSE,4
Backward Lunge,後弓箭步,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,5,5,3,4,3,TRUE,TRUE,FALSE,5
Step up,登階運動,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,3,TRUE,TRUE,FALSE,5
Side squat,側蹲,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,3,5,3,TRUE,TRUE,FALSE,6
Hip hikes,骨盆側提,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,2,5,2,TRUE,FALSE,FALSE,5
RFESS,保加利亞分腿蹲,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,5,3,4,3,TRUE,TRUE,FALSE,7
SL half squat,單腳半蹲,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,5,3,5,3,TRUE,TRUE,FALSE,8
SL RDL,單腳羅馬尼亞硬舉,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,5,2,5,4,TRUE,TRUE,FALSE,8
